#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
110	B0743-53	0.214838506	2.19E-15	0.565	-0.139	-0.547	8.532	1.56E+06	6.94E+11	8.70E+33
111	B0839-53	0.720613772	1.64E-15	0.566	-0.07	-0.562	8.492	6.97E+06	1.10E+12	1.70E+32
112	B0818-41	0.54544556	1.98E-17	0.571	-0.027	-0.559	8.611	4.37E+08	1.05E+11	4.80E+30
113	J0609+2130	0.055698014	2.35E-19	0.574	0.01	-0.092	9.067	3.76E+09	3.66E+09	5.40E+31
114	J2122+2426	0.541421159	1.27E-16	0.585	-0.18	0.535	8.345	6.75E+07	2.65E+11	3.20E+31
115	J1652-1400	0.305447058	1.76E-17	0.598	0.191	0.055	7.936	2.75E+08	7.42E+10	2.40E+31
116	J2214+3000	0.003119227	1.47E-20	0.6	-0.222	0.557	8.469	3.36E+09	2.17E+08	1.90E+34
117	J0038-2501	0.256926458	7.60E-19	0.604	-0.603	0.035	8.485	5.36E+09	1.41E+10	1.80E+30
118	J2145-0750	0.016052424	2.98E-20	0.613	-0.411	0.337	8.194	8.54E+09	7.00E+08	2.80E+32
119	J1730-2304	0.008122798	2.02E-20	0.62	0.065	0.034	7.884	6.38E+09	4.10E+08	1.50E+33
120	J2055+2539	0.319561175	4.08E-15	0.62	-0.134	0.571	8.3	1.24E+06	1.16E+12	4.90E+33
121	J0614-3329	0.00314867	1.75E-20	0.63	-0.234	-0.509	8.788	2.84E+09	2.38E+08	2.20E+34
122	J1057-4754	0.628305879	2.25E-16	0.639	0.119	-0.609	8.348	4.43E+07	3.80E+11	3.60E+31
123	J1732-3131	0.196543155	2.80E-14	0.64	0.011	-0.041	7.861	1.11E+05	2.38E+12	1.50E+35
124	J2042+0246	0.004533727	1.40E-20	0.64	-0.25	0.445	8.113	5.12E+09	2.55E+08	5.90E+33
125	J1933-6211	0.003543431	3.87E-21	0.65	-0.311	-0.246	7.985	1.45E+10	1.19E+08	3.40E+33
126	J1439-5501	0.028634888	1.42E-19	0.654	0.053	-0.435	8.015	3.20E+09	2.04E+09	2.40E+32
127	J1405-4656	0.007602203	2.79E-20	0.669	0.163	-0.452	8.035	4.32E+09	4.66E+08	2.50E+33
128	J1908+0734	0.212352673	8.25E-16	0.669	-0.003	0.444	8	4.08E+06	4.23E+11	3.40E+33
129	B0903-42	0.965173295	1.88E-15	0.675	0.034	-0.672	8.558	8.15E+06	1.36E+12	8.20E+31
130	B0942-13	0.570264125	4.53E-17	0.686	0.331	-0.561	8.714	2.00E+08	1.63E+11	9.60E+30
131	J1012+5307	0.005255749	1.71E-20	0.7	0.543	0.149	8.916	4.86E+09	3.04E+08	4.70E+33
132	J1614-2230	0.003150808	9.62E-21	0.7	0.242	-0.084	7.848	5.19E+09	1.76E+08	1.20E+34
133	B1727-47	0.829828785	1.64E-13	0.7	-0.093	-0.208	7.838	8.04E+04	1.18E+13	1.10E+34
134	B1857-26	0.612209204	2.05E-16	0.7	-0.163	0.122	7.83	4.74E+07	3.58E+11	3.50E+31
135	B2334+61	0.495369868	1.93E-13	0.7	0.003	0.638	8.788	4.06E+04	9.91E+12	6.30E+34
136	B1257+12	0.006218532	1.14E-19	0.709	0.686	-0.134	8.382	8.62E+08	8.53E+08	1.90E+34
137	J1022+1001	0.01645293	4.33E-20	0.719	0.56	-0.355	8.779	6.02E+09	8.54E+08	3.80E+32
138	J2030+4415	0.227070177	6.48E-15	0.72	0.036	0.713	8.404	5.55E+05	1.23E+12	2.20E+34
139	J1840-1419	6.597562522	6.35E-15	0.721	-0.052	0.233	7.82	1.65E+07	6.55E+12	8.70E+29
140	J1918+1541	0.370882999	2.54E-15	0.722	0.017	0.552	8.035	2.31E+06	9.83E+11	2.00E+33
141	J1756-2251	0.028461589	1.02E-18	0.73	0.012	0.083	7.775	4.43E+08	5.45E+09	1.70E+33
142	J1739-1313	1.215697614	8.17E-17	0.735	0.119	0.161	7.793	2.36E+08	3.19E+11	1.80E+30
143	B0301+19	1.387584446	1.30E-15	0.739	-0.405	0.2	9.085	1.70E+07	1.36E+12	1.90E+31
144	B1747-46	0.742353603	1.30E-15	0.739	-0.131	-0.188	7.797	9.06E+06	9.93E+11	1.30E+32
145	J1643-1224	0.004621642	1.85E-20	0.74	0.268	0.068	7.814	3.97E+09	2.96E+08	7.40E+33
146	B1702-19	0.298987427	4.14E-15	0.747	0.168	0.04	7.773	1.14E+06	1.13E+12	6.10E+33
147	B1845-19	4.308189599	2.33E-14	0.751	-0.108	0.19	7.781	2.93E+06	1.01E+13	1.10E+31
148	B0909-71	1.362890351	3.27E-16	0.752	-0.211	-0.688	8.28	6.60E+07	6.76E+11	5.10E+30
149	J2208+4056	0.636957394	5.28E-15	0.754	-0.158	0.736	8.533	1.91E+06	1.86E+12	8.10E+32
150	J1802-2124	0.012647594	7.26E-20	0.76	0.008	0.111	7.748	2.76E+09	9.69E+08	1.40E+33
151	J2027+7502	0.515218649	8.89E-16	0.761	0.264	0.677	8.725	9.18E+06	6.85E+11	2.60E+32
152	J0454+4529	1.389136936	4.89E-15	0.765	0.017	0.253	9.222	4.50E+06	2.64E+12	7.20E+31
153	J2234+0944	0.003627028	2.01E-20	0.769	-0.499	0.569	8.361	2.86E+09	2.73E+08	1.70E+34
154	J1528-3146	0.06082223	2.49E-19	0.774	0.267	-0.273	7.827	3.87E+09	3.94E+09	4.40E+31
155	J0613-0200	0.003061844	9.59E-21	0.78	-0.126	-0.39	9.164	5.06E+09	1.73E+08	1.30E+34
156	J1141-3107	0.538431789	1.96E-15	0.783	0.384	-0.657	8.315	4.35E+06	1.04E+12	5.00E+32
157	J1739-3951	0.341772477	2.00E-17	0.784	-0.064	-0.135	7.73	2.73E+08	8.34E+10	2.00E+31
158	J0611+1436	0.270329463	4.00E-15	0.792	-0.028	-0.21	9.263	1.07E+06	1.05E+12	8.00E+33
159	B0906-17	0.401625623	6.70E-16	0.805	0.273	-0.692	8.807	9.50E+06	5.25E+11	4.10E+32
160	J1804-2717	0.009343031	4.09E-20	0.805	-0.038	0.049	7.697	3.62E+09	6.25E+08	2.00E+33
161	J0746-4529	2.791025178	1.67E-14	0.81	-0.142	-0.783	8.649	2.65E+06	6.90E+12	3.00E+31
162	B1530-53	1.368882243	1.43E-15	0.81	0.027	-0.456	7.831	1.52E+07	1.42E+12	2.20E+31
163	J1819-1318	1.515695993	6.00E-16	0.811	0.012	0.244	7.727	4.02E+07	9.63E+11	6.80E+30
164	B1118-79	2.280597196	3.67E-15	0.814	-0.245	-0.681	8.127	9.85E+06	2.93E+12	1.20E+31
165	J0312-0921	0.003704	1.97E-20	0.817	-0.647	-0.1	8.989	2.98E+09	2.73E+08	1.50E+34
166	J0509+0856	0.004055838	4.41E-21	0.817	-0.252	-0.168	9.259	1.46E+10	1.35E+08	2.60E+33
