#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
1174	J1814+1130	0.751261115	1.66E-15	4.151	0.955	2.553	5.37	7.17E+06	1.13E+12	1.50E+32
1175	B1910+10	0.409349486	1.58E-14	4.154	0.011	2.927	5.552	4.11E+05	2.57E+12	9.10E+33
1176	J1737-3137	0.45043237	1.39E-13	4.162	0.011	-0.236	4.345	5.14E+04	8.00E+12	6.00E+34
1177	B1913+16	0.059030003	8.62E-18	4.167	0.154	3.188	5.822	1.09E+08	2.28E+10	1.70E+33
1178	J1449-5846	0.463329577	8.60E-17	4.169	0.048	-2.805	5.416	8.54E+07	2.02E+11	3.40E+31
1179	J1841-0310	1.657656458	3.35E-16	4.17	0.057	2.019	4.852	7.83E+07	7.54E+11	2.90E+30
1180	B1737+13	0.803050265	1.45E-15	4.176	1.543	2.34	5.404	8.77E+06	1.09E+12	1.10E+32
1181	J1954+2407	0.193404571	1.06E-15	4.176	-0.136	3.663	6.5	2.90E+06	4.57E+11	5.80E+33
1182	J1814-0521	1.014219485	8.84E-16	4.182	0.418	1.686	4.696	1.82E+07	9.58E+11	3.30E+31
1183	B1556-57	0.194455894	2.13E-15	4.183	-0.27	-2.336	5.041	1.45E+06	6.51E+11	1.10E+34
1184	J0733-2345	1.796249701	5.70E-15	4.184	-0.148	-3.573	10.671	4.99E+06	3.24E+12	3.90E+31
1185	B1309-55	0.849242597	5.70E-15	4.187	0.544	-3.358	6.059	2.36E+06	2.23E+12	3.70E+32
1186	J1740-3327	0.515000656	3.90E-15	4.191	-0.105	-0.324	4.323	2.09E+06	1.43E+12	1.10E+33
1187	J1840-0815	1.09644114	2.43E-15	4.195	-0.094	1.727	4.678	7.16E+06	1.65E+12	7.30E+31
1188	J1749-2629	1.335387791	1.72E-15	4.196	0.043	0.183	4.308	1.23E+07	1.53E+12	2.80E+31
1189	J2017+2043	0.537143086	9.96E-16	4.205	-0.605	3.653	6.506	8.55E+06	7.40E+11	2.50E+32
1190	J1835-0944	0.14534738	4.38E-15	4.215	-0.073	1.612	4.606	5.25E+05	8.08E+11	5.60E+34
1191	J1733-5515	1.011233535	4.00E-16	4.217	-0.862	-1.667	4.724	4.01E+07	6.44E+11	1.50E+31
1192	J1638-5226	0.340502709	2.65E-15	4.22	-0.275	-1.866	4.725	2.04E+06	9.61E+11	2.60E+33
1193	J1757-1500	0.179354019	1.50E-15	4.222	0.352	0.973	4.407	1.89E+06	5.26E+11	1.00E+34
1194	J1900-0051	0.385194095	1.42E-16	4.229	-0.182	2.316	4.966	4.29E+07	2.37E+11	9.80E+31
1195	J1841+0130	0.029772775	8.17E-18	4.23	0.217	2.308	4.962	5.77E+07	1.58E+10	1.20E+34
1196	J1839-0402	0.52093968	7.69E-15	4.231	0.054	1.987	4.765	1.07E+06	2.03E+12	2.10E+33
1197	J1629-3636	2.988192686	7.00E-15	4.232	0.603	-1.135	4.468	6.76E+06	4.63E+12	1.00E+31
1198	J1840-0559	0.859368467	9.60E-15	4.236	-0.021	1.88	4.704	1.42E+06	2.91E+12	6.00E+32
1199	J1846-07492	0.861379643	5.19E-15	4.236	-0.176	1.813	4.676	2.63E+06	2.14E+12	3.20E+32
1200	J1733-3322	1.245914634	4.10E-15	4.237	-0.018	-0.375	4.28	4.81E+06	2.29E+12	8.40E+31
1201	J1810-1820	0.153716278	5.20E-17	4.237	0.021	0.886	4.357	4.66E+07	9.07E+10	5.70E+32
1202	J1622-4845	0.735091648	1.10E-16	4.244	0.054	-1.825	4.669	1.06E+08	2.88E+11	1.10E+31
1203	J1022-5813	1.643726002	1.45E-13	4.245	-0.062	-4.112	7.448	1.79E+05	1.56E+13	1.30E+33
1204	J1837+0053	0.47351253	3.80E-17	4.25	0.26	2.256	4.908	1.99E+08	1.35E+11	1.40E+31
1205	J1725-2852	1.257787625	1.99E-15	4.251	0.282	-0.175	4.262	1.00E+07	1.60E+12	4.00E+31
1206	J1437-6146	0.467616323	6.33E-15	4.253	-0.106	-3.001	5.488	1.17E+06	1.74E+12	2.40E+33
1207	J1829+0000	0.199147397	5.25E-16	4.267	0.358	2.155	4.835	6.01E+06	3.27E+11	2.60E+33
1208	J0557-2948	0.043642639	7.30E-20	4.272	-1.737	-3.215	10.712	9.47E+09	1.81E+09	3.50E+31
1209	J1719-2330	0.453992694	2.19E-15	4.274	0.583	0.104	4.267	3.29E+06	1.01E+12	9.20E+32
1210	J1954+1021	2.09944017	1.74E-15	4.28	-0.669	3.216	5.756	1.92E+07	1.93E+12	7.40E+30
1211	J1843-0702	0.191614578	2.14E-15	4.282	-0.107	1.859	4.644	1.42E+06	6.47E+11	1.20E+34
1212	J1529-3828	0.008486282	2.70E-20	4.296	1.092	-1.829	4.769	4.98E+09	4.84E+08	1.70E+33
1213	J1709-3841	0.586986163	7.86E-15	4.3	0.062	-0.915	4.299	1.18E+06	2.17E+12	1.50E+33
1214	J1901+0254	1.29969345	4.60E-16	4.3	-0.064	2.566	5.05	4.52E+07	7.79E+11	8.20E+30
1215	J1808-1517	0.544549207	2.67E-15	4.306	0.168	1.075	4.334	3.23E+06	1.22E+12	6.50E+32
1216	J1843-0806	0.536413666	1.74E-14	4.314	-0.146	1.809	4.586	4.90E+05	3.09E+12	4.40E+33
1217	J1837-0559	0.201063722	3.31E-15	4.315	0.029	1.892	4.622	9.63E+05	8.25E+11	1.60E+34
1218	J1852+0008	0.467894113	5.68E-15	4.319	-0.017	2.365	4.886	1.31E+06	1.65E+12	2.20E+33
1219	B1918+19	0.821035081	8.96E-16	4.322	0.201	3.487	5.954	1.45E+07	8.68E+11	6.40E+31
1220	J1847-0605	0.778164353	4.65E-15	4.324	-0.141	1.965	4.651	2.65E+06	1.92E+12	3.90E+32
1221	J1627+1419	0.49085673	3.93E-16	4.325	2.682	1.698	5.562	1.98E+07	4.44E+11	1.30E+32
1222	J1702-4310	0.240523865	2.24E-13	4.326	-0.064	-1.239	4.356	1.70E+04	7.42E+12	6.30E+35
1223	J1842+0358	0.233326207	8.12E-16	4.329	0.29	2.504	4.981	4.56E+06	4.40E+11	2.50E+33
1224	J1732-3426	0.332886679	4.02E-16	4.333	-0.038	-0.467	4.192	1.31E+07	3.70E+11	4.30E+32
1225	B1911+09	1.241964599	4.32E-16	4.337	-0.042	3.014	5.382	4.56E+07	7.41E+11	8.90E+30
1226	J1928+1746	0.068730406	1.32E-14	4.337	0.009	3.461	5.886	8.26E+04	9.64E+11	1.60E+36
1227	B1747-31	0.910362984	1.97E-16	4.338	-0.19	-0.153	4.169	7.34E+07	4.28E+11	1.00E+31
1228	J1913+0446	1.616129872	2.79E-13	4.338	-0.211	2.77	5.168	9.18E+04	2.15E+13	2.60E+33
1229	B2045+56	0.476734842	1.11E-14	4.341	0.652	4.28	8.814	6.79E+05	2.33E+12	4.10E+33
1230	J1717-3737	0.682418627	5.29E-15	4.343	0.014	-0.792	4.23	2.04E+06	1.92E+12	6.60E+32
1231	B2106+44	0.414870537	8.62E-17	4.346	-0.153	4.337	8.266	7.62E+07	1.91E+11	4.80E+31
1232	B2303+30	1.575886338	2.89E-15	4.348	-1.951	3.85	9.022	8.63E+06	2.16E+12	2.90E+31
1233	J1758-2630	1.202893463	5.17E-15	4.35	-0.093	0.27	4.159	3.69E+06	2.52E+12	1.20E+32
1234	J1816+4510	0.003193104	4.31E-20	4.356	1.823	3.78	7.332	1.17E+09	3.75E+08	5.20E+34
1235	J1844+0115	0.004185544	1.07E-20	4.357	0.158	2.389	4.86	6.19E+09	2.14E+08	5.80E+33
1236	B1834-04	0.354236508	1.66E-15	4.358	0.086	1.989	4.624	3.38E+06	7.76E+11	1.50E+33
1237	B1907+00	1.016948362	5.52E-15	4.358	-0.302	2.501	4.944	2.92E+06	2.40E+12	2.10E+32
1238	J1643-4550	0.71750809	3.00E-14	4.378	0.008	-1.561	4.41	3.79E+05	4.69E+12	3.20E+33
1239	J1847-0438	0.957991165	1.09E-14	4.378	-0.097	2.08	4.649	1.39E+06	3.27E+12	4.90E+32
1240	J1739-3049	0.239317178	2.18E-15	4.38	0.012	-0.177	4.124	1.74E+06	7.31E+11	6.30E+33
1241	J1716-4111	1.036067273	2.88E-15	4.387	-0.137	-1.021	4.236	5.70E+06	1.75E+12	1.00E+32
1242	B1417-54	0.935772205	2.32E-16	4.399	0.487	-3.048	5.366	6.39E+07	4.72E+11	1.10E+31
1243	J1755-2534	0.233540625	1.12E-14	4.399	-0.018	0.31	4.112	3.30E+05	1.64E+12	3.50E+34
1244	B1813-36	0.387019397	2.02E-15	4.399	-0.717	-0.242	4.167	3.03E+06	8.95E+11	1.40E+33
1245	B1838-04	0.186148858	6.39E-15	4.399	0.021	2.053	4.609	4.61E+05	1.10E+12	3.90E+34
1246	B1509-58	0.151581943	1.53E-12	4.4	-0.089	-2.809	5.114	1.57E+03	1.54E+13	1.70E+37
1247	B1800-21	0.13366692	1.34E-13	4.4	0.011	0.642	4.147	1.58E+04	4.29E+12	2.20E+36
1248	B1845-01	0.659432051	5.25E-15	4.4	0.003	2.288	4.742	1.99E+06	1.88E+12	7.20E+32
1249	J1904+0451	0.006092368	5.70E-21	4.401	-0.06	2.758	5.071	1.69E+10	1.89E+08	1.00E+33
1250	J1649-4349	0.870711559	4.40E-17	4.408	0.046	-1.409	4.323	3.14E+08	1.98E+11	2.60E+30
1251	J1637-4642	0.154046599	5.93E-14	4.41	0.024	-1.667	4.417	4.12E+04	3.06E+12	6.40E+35
1252	J1739-2521	1.818461193	2.40E-16	4.411	0.233	0.179	4.099	1.20E+08	6.69E+11	1.60E+30
1253	B1736-31	0.529440988	1.86E-14	4.411	-0.017	-0.223	4.095	4.51E+05	3.17E+12	4.90E+33
1254	J1909+1450	0.996107795	2.19E-16	4.411	0.218	3.283	5.562	7.21E+07	4.73E+11	8.70E+30
1255	J1637-4721	1.165741387	4.44E-15	4.416	-0.009	-1.704	4.426	4.16E+06	2.30E+12	1.10E+32
1256	J1713-3844	1.600114042	1.77E-13	4.426	0.016	-0.913	4.169	1.43E+05	1.70E+13	1.70E+33
1257	J1811-1736	0.104181955	9.01E-19	4.426	0.034	0.982	4.184	1.83E+09	9.80E+09	3.10E+31
1258	B1822-14	0.279198309	2.27E-14	4.44	-0.078	1.283	4.25	1.95E+05	2.55E+12	4.10E+34
1259	J1821+4147	1.261857209	1.73E-15	4.444	1.73	3.835	7.069	1.16E+07	1.49E+12	3.40E+31
1260	B1813-17	0.78231336	7.26E-15	4.446	-0.033	1.033	4.176	1.71E+06	2.41E+12	6.00E+32
1261	J2040+1657	0.865606225	5.95E-16	4.45	-1.141	3.772	6.433	2.31E+07	7.26E+11	3.60E+31
1262	J1824-1159	0.362492078	5.38E-15	4.458	0.025	1.47	4.291	1.07E+06	1.41E+12	4.50E+33
1263	J1734-3333	1.169340685	2.28E-12	4.461	-0.034	-0.403	4.057	8.13E+03	5.22E+13	5.60E+34
1264	J1725-4043	1.465071375	2.79E-15	4.465	-0.227	-0.937	4.14	8.32E+06	2.05E+12	3.50E+31
1265	J1946-1312	0.491865489	1.99E-15	4.465	-1.393	1.931	4.723	3.92E+06	1.00E+12	6.60E+32
1266	J1648-4611	0.164957688	2.37E-14	4.468	-0.062	-1.569	4.317	1.10E+05	2.00E+12	2.10E+35
1267	J1640-4648	0.178352043	8.06E-16	4.469	-0.017	-1.666	4.353	3.51E+06	3.84E+11	5.60E+33
1268	J1528-5547	3.467301517	7.75E-15	4.471	0.045	-2.641	4.892	7.09E+06	5.25E+12	7.30E+30
1269	J2234+2114	1.358745313	2.22E-16	4.472	-2.332	3.802	8.177	9.70E+07	5.56E+11	3.50E+30
1270	J1517-4356	0.650836872	2.16E-16	4.473	0.889	-2.268	4.748	4.79E+07	3.79E+11	3.10E+31
1271	J1653-4249	0.612558241	4.81E-15	4.475	0.049	-1.335	4.229	2.02E+06	1.74E+12	8.30E+32
1272	J1906+0055	0.002789552	3.32E-21	4.477	-0.234	2.597	4.86	1.33E+10	9.74E+07	6.00E+33
1273	J1839-0436	0.149460656	8.10E-16	4.483	0.051	2.063	4.52	2.92E+06	3.52E+11	9.60E+33
1274	B1707-53	0.899232735	1.55E-14	4.498	-0.662	-1.831	4.445	9.17E+05	3.78E+12	8.40E+32
1275	J1736-2457	2.642223439	3.43E-15	4.498	0.296	0.183	4.015	1.22E+07	3.05E+12	7.30E+30
1276	J1854+0306	4.557820096	1.45E-13	4.498	0.066	2.643	4.861	4.98E+05	2.60E+13	6.10E+31
1277	B0045+33	1.217094296	2.35E-15	4.5	-2.159	3.339	10.607	8.19E+06	1.71E+12	5.20E+31
1278	J1112-6103	0.064961852	3.15E-14	4.5	-0.036	-4.195	6.871	3.27E+04	1.45E+12	4.50E+36
1279	B1641-45	0.455078202	2.01E-14	4.5	-0.015	-1.598	4.294	3.59E+05	3.06E+12	8.40E+33
1280	B1830-08	0.085288151	9.18E-15	4.5	0.005	1.786	4.37	1.47E+05	8.95E+11	5.80E+35
1281	B1907+02	0.989831207	5.53E-15	4.5	-0.213	2.743	4.939	2.84E+06	2.37E+12	2.20E+32
1282	B1914+13	0.281844951	3.66E-15	4.5	0.035	3.322	5.464	1.22E+06	1.03E+12	6.50E+33
1283	J1452-5851	0.386642928	5.07E-14	4.504	0.031	-3.009	5.148	1.21E+05	4.48E+12	3.50E+34
1284	J1852-0635	0.524156765	1.46E-14	4.515	-0.263	2.062	4.492	5.68E+05	2.80E+12	4.00E+33
1285	J1900+0227	0.374261575	5.71E-15	4.515	-0.073	2.664	4.856	1.04E+06	1.48E+12	4.30E+33
1286	B1809-176	0.538340543	9.82E-16	4.517	0.031	1.009	4.097	8.68E+06	7.36E+11	2.50E+32
1287	J1821-1432	1.91513067	5.37E-15	4.54	-0.013	1.299	4.15	5.65E+06	3.25E+12	3.00E+31
1288	J1744-3922	0.172444361	1.55E-18	4.541	-0.408	-0.715	4.034	1.76E+09	1.65E+10	1.20E+31
1289	J1758-1931	0.692551578	1.69E-14	4.544	0.187	0.753	4.023	6.49E+05	3.46E+12	2.00E+33
1290	J1838-0624	0.927177742	7.70E-17	4.545	-0.011	1.978	4.408	1.90E+08	2.71E+11	3.80E+30
1291	B0402+61	0.594576165	5.57E-15	4.545	0.558	2.65	12.151	1.69E+06	1.84E+12	1.00E+33
1292	J1824-1423	0.359394162	3.92E-16	4.551	-0.063	1.342	4.152	1.45E+07	3.80E+11	3.30E+32
1293	J1728-3733	0.615538243	7.20E-17	4.557	-0.132	-0.725	4.003	1.35E+08	2.13E+11	1.20E+31
1294	J1840-0445	0.422316321	1.13E-14	4.557	0.016	2.103	4.457	5.93E+05	2.21E+12	5.90E+33
1295	J1657-4432	0.609607142	8.21E-15	4.558	-0.08	-1.428	4.172	1.18E+06	2.26E+12	1.40E+33
1296	J1857+0143	0.139760065	3.12E-14	4.566	-0.045	2.63	4.768	7.10E+04	2.11E+12	4.50E+35
1297	J1638-4608	0.278154768	5.15E-14	4.57	0.043	-1.686	4.253	8.56E+04	3.83E+12	9.40E+34
1298	J1805-2447	0.661401759	5.80E-18	4.576	-0.138	0.463	3.95	1.80E+09	6.28E+10	7.90E+29
1299	J1844-0502	0.335162528	6.20E-17	4.578	-0.061	2.126	4.446	8.60E+07	1.46E+11	6.50E+31
1300	J1904+0412	0.071094897	1.10E-19	4.578	-0.079	2.828	4.901	1.02E+10	2.83E+09	1.20E+31
1301	J1713+7810	0.432525935	1.14E-16	4.58	2.39	3.664	9.856	6.01E+07	2.25E+11	5.60E+31
1302	B1805-20	0.918410326	1.71E-14	4.582	-0.032	0.752	3.98	8.52E+05	4.01E+12	8.70E+32
1303	J0631+0646	0.110978943	3.62E-15	4.583	-0.099	-1.913	12.663	4.86E+05	6.41E+11	1.00E+35
1304	J2055+3829	0.00208929	1.00E-21	4.588	-0.341	4.514	7.754	3.31E+10	4.62E+07	4.30E+33
1305	J1805-2948	0.428340989	4.74E-16	4.589	-0.337	0.116	3.925	1.43E+07	4.56E+11	2.40E+32
1306	J1709-4401	0.865235334	7.37E-15	4.597	-0.193	-1.307	4.097	1.86E+06	2.56E+12	4.50E+32
1307	J1824-2233	1.16174311	3.01E-16	4.597	-0.356	0.782	3.984	6.12E+07	5.98E+11	7.60E+30
1308	J1935+2025	0.080118133	6.08E-14	4.598	-0.004	3.814	5.932	2.09E+04	2.23E+12	4.70E+36
1309	B1718-35	0.280423859	2.52E-14	4.6	0.054	-0.665	3.949	1.76E+05	2.69E+12	4.50E+34
1310	J1822-0719	0.499075534	1.90E-17	4.611	0.245	1.806	4.265	4.16E+08	9.85E+10	6.00E+30
1311	J1913+1011	0.035908613	3.37E-15	4.613	-0.013	3.232	5.209	1.69E+05	3.52E+11	2.90E+36
1312	J1643-4522	1.347899473	8.28E-15	4.615	0.033	-1.617	4.178	2.58E+06	3.38E+12	1.30E+32
1313	J1755-1650	0.733744439	6.86E-16	4.618	0.345	0.92	3.988	1.69E+07	7.18E+11	6.90E+31
1314	J1759-1956	2.84338881	1.86E-14	4.62	0.149	0.751	3.944	2.43E+06	7.35E+12	3.20E+31
1315	B1737-39	0.512212355	1.71E-15	4.624	-0.383	-0.756	3.954	4.74E+06	9.48E+11	5.00E+32
1316	B1933+15	0.96733837	4.04E-15	4.624	-0.199	3.634	5.648	3.79E+06	2.00E+12	1.80E+32
1317	B1931+24	0.813690303	8.11E-15	4.639	0.194	3.993	6.146	1.59E+06	2.60E+12	5.90E+32
1318	J1643+1338	1.099047163	7.78E-16	4.641	2.619	1.988	5.225	2.24E+07	9.36E+11	2.30E+31
1319	J1623-0841	0.503015006	1.96E-15	4.643	2.134	0.415	4.398	4.08E+06	1.00E+12	6.10E+32
1320	J1654-4140	1.273945126	1.30E-16	4.645	0.101	-1.31	4.045	1.55E+08	4.12E+11	2.50E+30
1321	J1833-3840	0.00187	1.77E-20	4.645	-1.065	-0.315	3.99	1.67E+09	1.84E+08	1.10E+35
1322	J1543-5459	0.377137778	5.21E-14	4.662	-0.004	-2.605	4.634	1.15E+05	4.49E+12	3.80E+34
1323	J1954+3852	0.352933479	6.60E-15	4.666	0.463	4.464	7.224	8.47E+05	1.54E+12	5.90E+33
1324	J1809-1850	1.124481089	1.06E-14	4.667	0.026	0.928	3.926	1.68E+06	3.49E+12	2.90E+32
1325	J1834-0031	0.329531922	4.49E-16	4.675	0.281	2.373	4.482	1.16E+07	3.89E+11	4.90E+32
1326	J1923+4243	0.595192859	2.53E-15	4.684	1.025	4.409	7.295	3.72E+06	1.24E+12	4.70E+32
1327	B0021-72E	0.003536329	9.85E-20	4.69	-3.31	-2.692	6.552	5.69E+08	5.97E+08	8.80E+34
1328	B0021-72F	0.002623579	6.45E-20	4.69	-3.31	-2.691	6.552	6.44E+08	4.16E+08	1.40E+35
1329	J0024-7204O	0.002643343	3.03E-20	4.69	-3.31	-2.692	6.552	1.38E+09	2.87E+08	6.50E+34
1330	J0024-7204P	0.003643021	6.60E-19	4.69	-3.311	-2.692	6.553	8.70E+07	1.57E+09	5.40E+35
1331	J0024-7204Q	0.004033181	3.40E-20	4.69	-3.31	-2.692	6.553	1.88E+09	3.75E+08	2.00E+34
1332	J0024-7204R	0.003480463	1.48E-19	4.69	-3.31	-2.692	6.552	3.72E+08	7.27E+08	1.40E+35
1333	J0024-7204T	0.00758848	2.94E-19	4.69	-3.31	-2.692	6.552	4.09E+08	1.51E+09	2.70E+34
1334	J0024-7204U	0.004342827	9.52E-20	4.69	-3.311	-2.691	6.553	7.23E+08	6.51E+08	4.60E+34
1335	J0024-7204X	0.004771523	1.84E-20	4.69	-3.314	-2.689	6.555	4.12E+09	3.00E+08	6.70E+33
1336	B1829-10	0.330354089	4.20E-15	4.691	-0.049	1.726	4.138	1.25E+06	1.19E+12	4.60E+33
1337	J1849+0127	0.542155481	2.80E-14	4.691	0.085	2.625	4.613	3.07E+05	3.94E+12	6.90E+33
1338	J1824-1350	1.396598546	6.07E-16	4.693	-0.042	1.42	4.027	3.65E+07	9.32E+11	8.80E+30
1339	J1813-1749	0.04474056	1.27E-13	4.7	-0.002	1.043	3.917	5.58E+03	2.41E+12	5.60E+37
1340	J1423-6953	0.33341071	1.45E-15	4.704	-0.69	-3.526	5.463	3.64E+06	7.04E+11	1.50E+33
1341	J1702-4217	0.227564958	1.14E-17	4.715	-0.027	-1.293	3.966	3.16E+08	5.15E+10	3.80E+31
1342	J1613-5211	0.457501818	1.92E-14	4.718	-0.065	-2.273	4.366	3.77E+05	3.00E+12	7.90E+33
1343	J1726-3530	1.110132444	1.22E-12	4.722	-0.006	-0.637	3.821	1.45E+04	3.72E+13	3.50E+34
1344	J1708-3426	0.692115696	4.21E-15	4.724	0.281	-0.731	3.841	2.61E+06	1.73E+12	5.00E+32
1345	J1852-0118	0.451472853	1.76E-15	4.726	-0.065	2.495	4.487	4.07E+06	9.01E+11	7.50E+32
1346	J1643-4505	0.237390393	3.18E-14	4.738	0.045	-1.642	4.056	1.18E+05	2.78E+12	9.40E+34
1347	J1733-2837	0.768184557	1.11E-15	4.74	0.199	-0.094	3.765	1.10E+07	9.33E+11	9.60E+31
1348	J1638-4344	1.121944194	2.50E-17	4.741	0.172	-1.606	4.042	7.11E+08	1.69E+11	7.00E+29
1349	J1638-4725	0.7639335	4.80E-15	4.742	-0.024	-1.825	4.123	2.53E+06	1.93E+12	4.20E+32
1350	J1617-5055	0.069356847	1.35E-13	4.743	-0.023	-2.19	4.293	8.13E+03	3.10E+12	1.60E+37
1351	J1740-3052	0.570313412	2.55E-14	4.748	-0.011	-0.181	3.755	3.54E+05	3.86E+12	5.40E+33
1352	B1820-14	0.21477111	9.07E-16	4.757	-0.015	1.411	3.957	3.75E+06	4.47E+11	3.60E+33
1353	J1636-4803	1.204643889	2.07E-14	4.759	-0.043	-1.882	4.129	9.22E+05	5.05E+12	4.70E+32
1354	J1828-1101	0.072056525	1.48E-14	4.767	0.004	1.669	4.035	7.72E+04	1.04E+12	1.60E+36
1355	J1723-2852	0.625033913	9.00E-16	4.768	0.334	-0.209	3.748	1.10E+07	7.59E+11	1.50E+32
1356	J1929+1357	0.866926671	3.66E-15	4.768	-0.151	3.631	5.413	3.75E+06	1.80E+12	2.20E+32
1357	J1223-5856	0.288541427	5.70E-18	4.77	0.31	-4.149	6.167	8.02E+08	4.10E+10	9.40E+30
1358	J1837-0604	0.096294208	4.52E-14	4.771	0.022	2.088	4.21	3.38E+04	2.11E+12	2.00E+36
1359	J1858+0319	0.867443879	1.03E-16	4.777	-0.008	2.856	4.671	1.34E+08	3.02E+11	6.20E+30
1360	J1624-4613	0.871242606	6.10E-17	4.779	0.189	-1.895	4.117	2.27E+08	2.33E+11	3.60E+30
1361	J1756-2225	0.404980301	5.27E-14	4.779	0.103	0.569	3.756	1.22E+05	4.67E+12	3.10E+34
1362	J1731-1847	0.00234456	2.54E-20	4.782	0.678	0.568	3.8	1.46E+09	2.47E+08	7.80E+34
1363	J1738-3107	0.549497698	3.00E-16	4.79	0.008	-0.221	3.715	2.94E+07	4.08E+11	7.00E+31
1364	B1503-66	0.355656301	1.15E-15	4.792	-0.609	-3.31	5.089	4.89E+06	6.48E+11	1.00E+33
1365	J1818-1541	0.551133777	9.68E-15	4.792	-0.005	1.262	3.877	9.02E+05	2.34E+12	2.30E+33
1366	J1819-1717	0.393521638	3.46E-15	4.793	-0.088	1.159	3.85	1.80E+06	1.18E+12	2.20E+33
1367	J1526-5633	0.301887897	1.23E-16	4.796	0.008	-2.877	4.663	3.89E+07	1.95E+11	1.80E+32
1368	J1745-3812	0.698352864	2.43E-15	4.797	-0.397	-0.662	3.766	4.56E+06	1.32E+12	2.80E+32
1369	J1725-3546	1.032471199	1.50E-14	4.799	-0.013	-0.67	3.748	1.09E+06	3.98E+12	5.40E+32
1370	B1907+10	0.283642112	2.64E-15	4.8	0.083	3.384	5.096	1.70E+06	8.76E+11	4.60E+33
1371	J1900+0308	0.004909239	5.90E-21	4.801	-0.055	2.876	4.656	1.32E+10	1.72E+08	2.00E+33
1372	J1434-6029	0.963348323	1.03E-15	4.808	-0.011	-3.381	5.082	1.48E+07	1.01E+12	4.50E+31
1373	J1839-0643	0.44954815	3.64E-15	4.817	-0.029	2.077	4.154	1.96E+06	1.29E+12	1.60E+33
1374	J1255-6131	0.65797363	4.00E-15	4.824	0.113	-4.023	5.841	2.61E+06	1.64E+12	5.50E+32
1375	J1632-4757	0.228568673	1.51E-14	4.836	0.007	-1.944	4.072	2.40E+05	1.88E+12	5.00E+34
1376	J1759-2549	0.956548549	9.96E-14	4.842	-0.091	0.36	3.672	1.52E+05	9.88E+12	4.50E+33
1377	J1726-3635	0.287431567	1.44E-15	4.847	-0.068	-0.723	3.708	3.16E+06	6.51E+11	2.40E+33
1378	B1933+17	0.654408147	3.78E-16	4.85	-0.111	3.907	5.629	2.74E+07	5.03E+11	5.30E+31
1379	B2035+36	0.618715084	4.50E-15	4.851	-0.24	4.716	7.389	2.18E+06	1.69E+12	7.50E+32
1380	J1900-0134	1.832332073	3.05E-14	4.854	-0.23	2.609	4.413	9.52E+05	7.56E+12	2.00E+32
1381	B2323+63	1.436309536	2.83E-15	4.855	0.171	4.452	10.428	8.05E+06	2.04E+12	3.80E+31
1382	J1750-2444	0.899376721	2.64E-16	4.858	0.106	0.35	3.656	5.40E+07	4.93E+11	1.40E+31
1383	J1650-4126	0.308917679	1.98E-17	4.869	0.17	-1.399	3.839	2.47E+08	7.91E+10	2.70E+31
1384	J1831-1223	2.857941001	5.50E-15	4.875	-0.104	1.636	3.909	8.27E+06	4.00E+12	9.30E+30
1385	B1942+17	1.996899014	7.30E-16	4.877	-0.264	3.984	5.7	4.33E+07	1.22E+12	3.60E+30
1386	J1525-5417	1.011694218	1.62E-14	4.88	0.177	-2.849	4.542	9.91E+05	4.09E+12	6.20E+32
1387	J1627-4845	0.61233065	3.64E-15	4.88	0.013	-2.052	4.072	2.66E+06	1.51E+12	6.30E+32
1388	J1835-0928	0.621733994	9.69E-16	4.881	-0.066	1.882	3.997	1.02E+07	7.85E+11	1.60E+32
1389	J1806-2125	0.481824602	1.18E-13	4.886	-0.024	0.748	3.672	6.47E+04	7.63E+12	4.20E+34
1390	J1815-1738	0.198456979	7.78E-14	4.887	-0.023	1.114	3.742	4.04E+04	3.98E+12	3.90E+35
1391	J1843-0459	0.75496337	8.54E-16	4.887	-0.043	2.263	4.169	1.40E+07	8.13E+11	7.80E+31
1392	J1755-2550	0.315196062	2.43E-15	4.891	-0.028	0.324	3.62	2.05E+06	8.86E+11	3.10E+33
1393	J1639-4359	0.587558978	1.50E-17	4.892	0.16	-1.67	3.905	6.21E+08	9.50E+10	2.90E+30
1394	J1801-1909	1.10872485	7.03E-16	4.897	0.152	0.875	3.684	2.50E+07	8.93E+11	2.00E+31
1395	J2002+1637	0.276497484	2.25E-16	4.897	-0.641	4.025	5.785	1.95E+07	2.52E+11	4.20E+32
1396	B1309-53	0.728154394	1.47E-16	4.905	0.742	-3.923	5.651	7.87E+07	3.31E+11	1.50E+31
1397	B1842-02	0.507722322	1.67E-14	4.906	0.02	2.433	4.24	4.81E+05	2.95E+12	5.00E+33
1398	J1611-4811	1.296850239	1.95E-15	4.909	0.207	-2.179	4.106	1.05E+07	1.61E+12	3.50E+31
1399	B1636-47	0.517430025	4.21E-14	4.909	-0.038	-1.862	3.958	1.95E+05	4.72E+12	1.20E+34
1400	J1834-0742	0.788353567	3.25E-14	4.909	0.019	2.008	4.021	3.85E+05	5.12E+12	2.60E+33
1401	J1539-5521	1.004958318	7.28E-16	4.912	0.007	-2.799	4.464	2.19E+07	8.66E+11	2.80E+31
